NISE.bnf
EC Complete, not promiscuous, single supfam

Clusterize by EC, in which all enzymes display one single SUPFAM
annotation and share different SUPFAM.

                  EC 	 SEQ
oxidoreductases   127 	 1361
transferases      89 	 1180
hydrolases        84 	 828
lyases            42 	 381
isomerases        41 	 360
ligases           29 	 424
translocases      35 	 694
total             147 	 1712

By kingdom

ARCHAEA
                  EC 	 SEQ
oxidoreductases   7 	 30
transferases      8 	 74
hydrolases        5 	 24
lyases            3 	 9
isomerases        2 	 16
ligases           5 	 66
translocases      3 	 49
total             9 	 78

BACTERIA
                  EC 	 SEQ
oxidoreductases   73 	 482
transferases      50 	 437
hydrolases        45 	 296
lyases            24 	 137
isomerases        25 	 179
ligases           18 	 221
translocases      23 	 220
total             85 	 643

EUKARYA
                  EC 	 SEQ
oxidoreductases   35 	 371
transferases      28 	 346
hydrolases        25 	 271
lyases            12 	 128
isomerases        5 	 63
ligases           7 	 81
translocases      8 	 175
total             38 	 461

VIRUSES
                  EC 	 SEQ
oxidoreductases   1 	 5
transferases      2 	 16
hydrolases        1 	 5
lyases            0 	 0
isomerases        0 	 0
ligases           1 	 11
translocases      2 	 16
total             2 	 16
