EC number	SuperFamilyCount	ProteinCount	Entries
('1.1.1.1',)	2	75	"{""('SSF51735',)"": [""A5JYX5"", ""P00334"", ""N4WE43"", ""P09369"", ""P10807"", ""P26719"", ""P37473"", ""Q05114"", ""Q9GN94"", ""B4M8Y0"", ""N4WE73"", ""N4WW42"", ""P07159"", ""P07160"", ""P07161"", ""P07162"", ""P09370"", ""P12854"", ""P21518"", ""P21898"", ""P22245"", ""P22246"", ""P23236"", ""P23237"", ""P23277"", ""P23278"", ""P23361"", ""P24267"", ""P25139"", ""P25720"", ""P25721"", ""P25988"", ""P27581"", ""P28483"", ""P28484"", ""P48584"", ""P48585"", ""P48586"", ""P48587"", ""P48814"", ""P48815"", ""P51549"", ""P51550"", ""P51551"", ""P51552"", ""P84328"", ""Q00669"", ""Q00670"", ""Q00671"", ""Q00672"", ""Q03384"", ""Q07588"", ""Q09009"", ""Q09010"", ""Q24641"", ""Q27404"", ""Q50L96"", ""Q5AR48"", ""Q6LCE4"", ""Q70UN9"", ""Q70UP5"", ""Q70UP6"", ""Q9NAR7"", ""Q9NG40"", ""Q9NG42"", ""Q9U8S9""], ""('SSF56796',)"": [""P10127"", ""A0A0S1X9S7"", ""P0DJA2"", ""P41795"", ""P76553"", ""Q09669"", ""A6ZTT5"", ""F8DVL8"", ""P37686""]}"
('1.1.1.107',)	2	2	"{""('SSF51430',)"": [""Q76KC2""], ""('SSF51735',)"": [""Q988B7""]}"
('1.1.1.122',)	2	6	"{""('SSF51430',)"": [""Q52472""], ""('SSF51735',)"": [""Q9BPX1"", ""A0A8I6GJ95"", ""A0AAT9JA24"", ""E9Q3D4"", ""Q9MYP6""]}"
('1.1.1.184',)	2	6	"{""('SSF51430',)"": [""P74308""], ""('SSF51735',)"": [""P08074"", ""Q5RCF8"", ""Q9BTZ2"", ""Q29529"", ""G5EGA6""]}"
('1.1.1.2',)	3	8	"{""('SSF51430',)"": [""O95154"", ""P38918"", ""Q12458"", ""P27800""], ""('SSF51735',)"": [""Q9UUN9""], ""('SSF56796',)"": [""Q46856"", ""Q9F282"", ""Q24857""]}"
('1.1.1.37',)	2	15	"{""('SSF51735',)"": [""P0C1G4"", ""P0C1G5"", ""P10887"", ""P19977"", ""P19978"", ""P19979"", ""P19980"", ""P19981"", ""P19982"", ""P19983"", ""P37227"", ""P80037"", ""P80541""], ""('SSF89733',)"": [""O59028"", ""Q9V0D5""]}"
('1.1.1.50',)	2	2	"{""('SSF51430',)"": [""P23457""], ""('SSF51735',)"": [""P80702""]}"
('1.1.1.6',)	2	7	"{""('SSF51735',)"": [""Q92EU6""], ""('SSF56796',)"": [""P32816"", ""O13702"", ""P45511"", ""P0A9S6"", ""Q9WYQ4"", ""P50173""]}"
('1.1.2.7',)	2	8	"{""('SSF48666',)"": [""P14775"", ""P29898"", ""P38540"", ""Q09053""], ""('SSF50998',)"": [""P12293"", ""P16027"", ""P38539"", ""P15279""]}"
('1.1.3.20',)	2	7	"{""('SSF51905',)"": [""B5WWZ8"", ""Q9LW56"", ""B5WWZ9"", ""O65709"", ""Q94BP3"", ""Q9ZWB9""], ""('SSF56176',)"": [""A0A075HNX4""]}"
