Entry	Entry Name	EC number	SUPFAM	Protein existence	Protein names	Gene Names	Organism	PDB	AlphaFoldDB	Date of last modification	Entry version	Taxonomic lineage	Super Kingdom	Is EC Complete
A0A0E3KBH3	OFOB_SACSO	('1.2.7.11',)	('SSF52518',)	Evidence at protein level	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)	SSOP1_2914 SULA_0624 SULB_0626 SULC_0624	Saccharolobus solfataricus (Sulfolobus solfataricus)	()	A0A0E3KBH3;	2025-04-09	36	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Saccharolobus (genus)	Archaea	True
D4GP33	ARADH_HALVD	('1.1.1.376',)	('SSF51735',)	Evidence at protein level	L-arabinose 1-dehydrogenase (NAD(P)(+)) (L-AraDH) (EC 1.1.1.376)	xacB HVO_B0032 C498_01595	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GP33;	2025-04-09	80	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GPK6	LACC_HALVD	('1.10.3.2',)	('SSF49503',)	Evidence at protein level	Laccase (EC 1.10.3.2) (LccA multicopper oxidase)	lccA HVO_B0205	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GPK6;	2025-02-05	64	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GSD6	KHK_HALVD	('2.7.1.3',)	('SSF53613',)	Evidence at protein level	Ketohexokinase (EC 2.7.1.3) (HvKHK)	khk HVO_1812	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GSD6;	2025-06-18	64	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GSE6	KDGK1_HALVD	('2.7.1.178',)	('SSF53613',)	Evidence at protein level	2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase (2-dehydro-3-deoxyglucono/galactono-kinase) (EC 2.7.1.178) (2-keto-3-deoxygluconate/2-keto-3-deoxygalactonate kinase) (KDG kinase) (KDGK-1)	kdgK1 HVO_0549	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GSE6;	2025-04-09	77	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GT97	IPYR_HALVD	('3.6.1.1',)	('SSF50324',)	Evidence at protein level	Inorganic pyrophosphatase (PPA) (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	ipp ppa HVO_0729	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GT97;	2025-04-09	81	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GTL2	ACEB_HALVD	('2.3.3.9',)	('SSF51621',)	Evidence at protein level	Malate synthase (MSH) (EC 2.3.3.9)	aceB aceB1 HVO_1983 C498_05196	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	('3OYX', '3OYZ', '3PUG', '5TAO')	D4GTL2;	2025-04-09	74	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GTL3	ACEA_HALVD	('4.1.3.1',)	('SSF51621',)	Evidence at protein level	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	aceA HVO_1984 C498_05201	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GTL3;	2025-04-09	68	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GTS4	JAMM1_HALVD	('3.4.19.15',)	('SSF102712',)	Evidence at protein level	Desampylase (EC 3.4.19.15) (HvJAMM1)	HVO_2505 C498_07813	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GTS4;	2025-04-09	80	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GU92	IDH_HALVD	('1.1.1.42',)	('SSF53659',)	Evidence at protein level	Isocitrate dehydrogenase [NADP] (ICDH) (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdh HVO_2588 C498_08220	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GU92;	2025-06-18	72	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GYE0	ALF_HALVD	('4.1.2.13',)	('SSF51569',)	Evidence at protein level	Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)	fba HVO_1494 C498_11261	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GYE0;	2025-04-09	72	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GYI2	GLPA1_HALVD	('1.1.5.3',)	('SSF51905',)	Evidence at protein level	Anaerobic glycerol-3-phosphate dehydrogenase subunit A1 (G-3-P dehydrogenase A1) (G3PDH A1) (EC 1.1.5.3)	gpdA1 HVO_1538	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GYI2;	2025-06-18	73	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D4GYZ1	PSB_HALVD	('3.4.25.1',)	('SSF56235',)	Evidence at protein level	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)	psmB HVO_1562	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	()	D4GYZ1;	2025-04-09	70	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax volcanii (species)	Archaea	True
D9PVP5	FNO_METTM	('1.5.1.40',)	('SSF51735',)	Evidence at protein level	F420-dependent NADP reductase (EC 1.5.1.40) (F420H2:NADP oxidoreductase)	fno MTBMA_c06980	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	()	D9PVP5;	2025-04-09	72	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Methanomada group (clade), Methanobacteria (class), Methanobacteriales (order), Methanobacteriaceae (family), Methanothermobacter (genus), Methanothermobacter marburgensis (species)	Archaea	True
E7FHC4	HYD2A_PYRFU	('1.12.1.5',)	('SSF56762',)	Evidence at protein level	Sulfhydrogenase 2 subunit alpha (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit alpha) (H-II alpha) (NADP-reducing hydrogenase subunit ShyA) (Sulfhydrogenase II subunit alpha)	shyA PF1332	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FHC4;	2025-02-05	68	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
E7FHF8	HYD2D_PYRFU	('1.12.1.5',)	('SSF56770',)	Evidence at protein level	Sulfhydrogenase 2 subunit delta (EC 1.12.1.5) (Hydrogen dehydrogenase (NAD(P)(+))) (Hydrogenase-II subunit delta) (H-II delta) (NADP-reducing hydrogenase subunit ShyD) (Sulfhydrogenase II subunit delta)	shyD PF1331	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FHF8;	2025-02-05	62	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
E7FHP1	ACDB1_PYRFU	('6.2.1.13',)	('SSF56059',)	Evidence at protein level	Acetate--CoA ligase [ADP-forming] I subunit beta (EC 6.2.1.13) (ADP-forming acetyl coenzyme A synthetase I subunit beta) (ACS I subunit beta)	acdBI PF1787	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FHP1;	2025-02-05	67	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
E7FHU4	HYD1D_PYRFU	('1.12.1.3',)	('SSF56770',)	Evidence at protein level	Sulfhydrogenase 1 subunit delta (EC 1.12.1.3) (Hydrogenase I small subunit) (NADP-reducing hydrogenase subunit HydD) (Sulfhydrogenase I subunit delta)	hydD PF0893	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FHU4;	2025-02-05	66	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
E7FHX4	HJC_PYRFU	('3.1.21.10',)	('SSF52980',)	Evidence at protein level	Crossover junction endodeoxyribonuclease Hjc (Hjc) (EC 3.1.21.10) (Holliday junction resolvase Hjc)	hjc PF1503	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	('1GEF', '1IPI')	E7FHX4;	2025-02-05	79	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
E7FI44	HYD1A_PYRFU	('1.12.1.3',)	('SSF56762',)	Evidence at protein level	Sulfhydrogenase 1 subunit alpha (EC 1.12.1.3) (Hydrogenase I large subunit) (NADP-reducing hydrogenase subunit HydA) (Sulfhydrogenase I subunit alpha)	hydA PF0894	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	()	E7FI44;	2025-02-05	63	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Thermococci (class), Thermococcales (order), Thermococcaceae (family), Pyrococcus (genus), Pyrococcus furiosus (species)	Archaea	True
F0NID4	PINA_SACI5	('3.6.4.12',)	('SSF52540',)	Evidence at protein level	Holliday junction branch migration ATPase PINA (PIN domain-containing ATPase) (PINA) (EC 3.6.4.12)	pina SiRe_1432	Saccharolobus islandicus (strain REY15A) (Sulfolobus islandicus)	('5F4H', '5YWW')	F0NID4;	2025-06-18	65	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Saccharolobus (genus), Saccharolobus islandicus (species)	Archaea	True
F1SVH7	FPOB_METMA	('1.5.98.3',)	('SSF56770',)	Evidence at protein level	F(420)H(2) dehydrogenase subunit B (EC 1.5.98.3) (F(420)H(2)-dependent phenazine dehydrogenase subunit B) (F(420)H(2)-dependent phenazine oxidoreductase subunit B) (FPO subunit B) (Methanophenazine hydrogenase subunit B) (Methanosarcina-phenazine hydrogenase subunit B)	fpoB MM_2490	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	()	F1SVH7;	2025-06-18	90	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanosarcina (genus), Methanosarcina mazei (species)	Archaea	True
F9VN79	RNH_SULTO	('3.1.26.4',)	('SSF53098',)	Evidence at protein level	Ribonuclease HI (RNase HI) (Sto-RNase HI) (EC 3.1.26.4)	rnhA STK_07530	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	('2EHG', '3ALY')	F9VN79;	2025-02-05	60	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Sulfurisphaera (genus), Sulfurisphaera tokodaii (species)	Archaea	True
G0WXL9	CS2H_ACIS1	('3.13.1.5',)	('SSF53056',)	Evidence at protein level	Carbon disulfide hydrolase (CS(2) hydrolase) (EC 3.13.1.5) (Carbon disulfide lyase)	csh	Acidianus sp. (strain A1-3)	('3TEN', '3TEO')	G0WXL9;	2024-11-27	44	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Acidianus (genus), unclassified Acidianus (no rank)	Archaea	True
G4RK16	PFP_THETK	('2.7.1.90',)	('SSF53784',)	Evidence at protein level	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)	pfp TTX_1277	Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)	()	G4RK16;	2025-06-18	60	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Thermoproteales (order), Thermoproteaceae (family), Thermoproteus (genus), Thermoproteus tenax (species)	Archaea	True
I3R9M8	NARH_HALMT	('1.7.5.1',)	('SSF54862',)	Evidence at protein level	Respiratory nitrate reductase subunit beta (EC 1.7.5.1) (Nitrate reductase beta chain)	narH HFX_5103 C439_00695	Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4) (Halobacterium mediterranei)	()	I3R9M8;	2025-04-09	59	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloferax (genus), Haloferax mediterranei (species)	Archaea	True
O05208	TOP6A_SACSH	('5.6.2.2',)	('SSF56726',)	Evidence at protein level	Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit A)	top6A J5U23_02507	Saccharolobus shibatae (strain ATCC 51178 / DSM 5389 / JCM 8931 / NBRC 15437 / B12) (Sulfolobus shibatae)	('2ZBK',)	O05208;	2025-06-18	116	cellular organisms (no rank), Archaea (domain), Thermoproteati (kingdom), Thermoproteota (phylum), Thermoprotei (class), Sulfolobales (order), Sulfolobaceae (family), Saccharolobus (genus), Saccharolobus shibatae (species)	Archaea	True
O27026	CAPPA_METTH	('4.1.1.31',)	('SSF51621',)	Evidence at protein level	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppcA MTH_943	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	()	O27026;	2025-02-05	110	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Methanomada group (clade), Methanobacteria (class), Methanobacteriales (order), Methanobacteriaceae (family), Methanothermobacter (genus), Methanothermobacter thermautotrophicus (species)	Archaea	True
O28007	UDGA_ARCFU	('3.2.2.27',)	('SSF52141',)	Evidence at protein level	Type-4 uracil-DNA glycosylase (EC 3.2.2.27) (AFUDG)	afung AF_2277	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	()	O28007;	2025-02-05	104	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O28050	KATG_ARCFU	('1.11.1.21',)	('SSF48113',)	Evidence at protein level	Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase)	katG perA AF_2233	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	()	O28050;	2025-06-18	141	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O28597	NPD1_ARCFU	('2.3.1.286',)	('SSF52467',)	Evidence at protein level	NAD-dependent protein deacylase 1 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 1) (SIR2-Af1)	cobB1 AF_1676	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('1ICI', '1M2G', '1M2H', '1M2J', '1M2K', '1M2N', '4TWI')	O28597;	2025-06-18	154	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O28608	ALADH_ARCFU	('1.4.1.1',)	('SSF51735',)	Evidence at protein level	Alanine dehydrogenase (AlaDH) (EC 1.4.1.1)	ala AF_1665	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('1OMO', '1VLL')	O28608;	2025-02-05	124	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O29370	FNO_ARCFU	('1.5.1.40',)	('SSF51735',)	Evidence at protein level	F420-dependent NADP reductase (EC 1.5.1.40) (F420H2:NADP(+) oxidoreductase)	fno AF_0892	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('1JAX', '1JAY')	O29370;	2025-02-05	123	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O29428	FERCR_ARCFU	('1.16.1.10',)	('SSF50475',)	Evidence at protein level	Ferric-chelate reductase (NAD(P)H) (EC 1.16.1.10)	feR AF_0830	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('1I0R', '1I0S')	O29428;	2025-02-05	121	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O29610	IDH_ARCFU	('1.1.1.42',)	('SSF53659',)	Evidence at protein level	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd AF_0647	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('2IV0',)	O29610;	2025-06-18	149	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
O29634	RNH2_ARCFU	('3.1.26.4',)	('SSF53098',)	Evidence at protein level	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB AF_0621	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	('1I39', '1I3A', '3P83')	O29634;	2025-02-05	140	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)	Archaea	True
