EC number	SuperFamilyCount	ProteinCount	Entries
('1.1.1.10',)	1	9	"{""('SSF51735',)"": [""Q21929"", ""Q7Z4W1"", ""Q91X52"", ""Q91XV4"", ""Q920P0"", ""G0RH19"", ""G3YG17"", ""Q920N9"", ""Q1JP75""]}"
('1.1.1.100',)	1	47	"{""('SSF51735',)"": [""P0AEK2"", ""P33207"", ""P0A2C9"", ""P35731"", ""P73574"", ""Q93X62"", ""O07399"", ""O42866"", ""O54438"", ""O67610"", ""P0A0H9"", ""P0A0I0"", ""P0A2D0"", ""P0A5Y5"", ""P0AEK3"", ""P27582"", ""P28643"", ""P38004"", ""P43713"", ""P50941"", ""P51831"", ""P55336"", ""P57432"", ""P70720"", ""P99093"", ""P9WGT2"", ""Q1RKB7"", ""Q4UK62"", ""Q5HGK2"", ""Q5HPW0"", ""Q68VY7"", ""Q6G9Y2"", ""Q6GHK4"", ""Q89AG9"", ""Q8CPI3"", ""Q8K9J5"", ""Q92GE0"", ""Q93X67"", ""Q93X68"", ""Q949M2"", ""Q949M3"", ""Q9KQH7"", ""Q9PKF7"", ""Q9RPT1"", ""Q9X248"", ""Q9Z8P2"", ""P27583""]}"
('1.1.1.102',)	1	21	"{""('SSF51735',)"": [""F1QWW8"", ""F4JZN6"", ""P38342"", ""Q06136"", ""Q0WRJ2"", ""Q2KIJ5"", ""Q59RQ2"", ""P0CR36"", ""Q4WSZ0"", ""Q6GV12"", ""P0CR37"", ""Q556J2"", ""Q5BE65"", ""Q6BQK1"", ""Q6CE86"", ""Q6CLN0"", ""Q6FQ42"", ""Q758B6"", ""Q7RZR2"", ""Q8A945"", ""Q9Y7P2""]}"
('1.1.1.103',)	1	3	"{""('SSF51735',)"": [""Q8K3F7"", ""Q2KIR8"", ""Q8MIR0""]}"
('1.1.1.105',)	1	8	"{""('SSF51735',)"": [""Q8CHS7"", ""Q8N3Y7"", ""A6NNS2"", ""D3ZGP9"", ""Q1RMJ5"", ""Q7TQA3"", ""O88451"", ""P55006""]}"
('1.1.1.116',)	1	1	"{""('SSF51430',)"": [""Q04212""]}"
('1.1.1.117',)	1	1	"{""('SSF51430',)"": [""P38115""]}"
('1.1.1.119',)	1	1	"{""('SSF51735',)"": [""Q5FPE5""]}"
('1.1.1.127',)	1	4	"{""('SSF51735',)"": [""P50842"", ""Q05528"", ""T2KLZ8"", ""Q15SS0""]}"
('1.1.1.130',)	1	41	"{""('SSF89733',)"": [""P37672"", ""A1AHB7"", ""A5UIG1"", ""A7ZTC2"", ""A8A634"", ""A8ARG3"", ""A9MUW2"", ""B1IZL7"", ""B1LJD7"", ""B1X8J1"", ""B4SWL6"", ""B4T959"", ""B4TZ64"", ""B5BHV4"", ""B5EX79"", ""B5FLE5"", ""B5R4Q5"", ""B5XMX0"", ""B6I3E8"", ""B7L6Z1"", ""B7LTI6"", ""B7M3J9"", ""B7MFE1"", ""B7N223"", ""B7NEM8"", ""B7NP75"", ""B7ULD6"", ""C0Q1C9"", ""C4ZXG6"", ""P44995"", ""Q0TBM6"", ""Q1R519"", ""Q31V43"", ""Q5PLN6"", ""Q65WJ9"", ""Q83PQ6"", ""Q8FCD6"", ""Q8Z2C5"", ""Q8ZL83"", ""Q93Q64"", ""Q9CLH5""]}"
