Entry	Entry Name	EC number	SUPFAM	Protein existence	Protein names	Gene Names	Organism	PDB	AlphaFoldDB	Date of last modification	Entry version	Taxonomic lineage	Super Kingdom	Is EC Complete
A0A0H3JUU7	MURT_STAAN	('6.3.5.13',)	('SSF53623',)	Evidence at protein level	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13)	murT SA1708	Staphylococcus aureus (strain N315)	('6GS2', '6H5E')	A0A0H3JUU7;	2025-06-18	41	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Staphylococcaceae (family), Staphylococcus (genus), Staphylococcus aureus (species)	Bacteria	True
A0AVT1	UBA6_HUMAN	('6.2.1.45',)	('SSF69572',)	Evidence at protein level	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	('7PVN', '7PYV', '7SOL')	A0AVT1;	2025-06-18	160	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
A0QZY0	MSHC_MYCS2	('6.3.1.13',)	('SSF52374',)	Evidence at protein level	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase (L-Cys:GlcN-Ins ligase) (EC 6.3.1.13) (Mycothiol ligase) (MSH ligase)	mshC cysS2 MSMEG_4189 MSMEI_4091	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	('3C8Z', '8HFM', '8HFN', '8HFO')	A0QZY0;	2025-02-05	113	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus), Mycolicibacterium smegmatis (species)	Bacteria	True
A0R618	FAA32_MYCS2	('6.2.1.20',)	('SSF56801',)	Evidence at protein level	Long-chain-fatty-acid--AMP ligase FadD32 (FAAL) (EC 6.2.1.20) (Acyl-AMP synthetase)	fadD32 MSMEG_6393 MSMEI_6225	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	('5D6J', '5D6N', '5EY8', '5ICR')	A0R618;	2025-02-05	116	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus), Mycolicibacterium smegmatis (species)	Bacteria	True
A5JTM6	CBACL_PSEUC	('6.2.1.33',)	('SSF56801',)	Evidence at protein level	4-chlorobenzoate--CoA ligase (4-CBA:CoA ligase) (EC 6.2.1.33)		Pseudomonas sp. (strain CBS-3)	()	A5JTM6;	2025-04-09	49	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Pseudomonadota incertae sedis (no rank), unclassified pseudomonads (no rank)	Bacteria	True
A5K9S0	SYFA_PLAVS	('6.1.1.20',)	('SSF55681',)	Evidence at protein level	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanine tRNA-synthetase alpha subunit) (FRS) (PheRS) (Phenylalanyl-tRNA synthetase alpha subunit)	PVX_081300	Plasmodium vivax (strain Salvador I)	('7BY6',)	A5K9S0;	2025-06-18	84	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Aconoidasida (class), Haemosporida (order), Plasmodiidae (family), Plasmodium (genus), Plasmodium (Plasmodium) (subgenus), Plasmodium vivax (species)	Eukaryota	True
A5YM72	CRNS1_HUMAN	('6.3.2.11',)	('SSF56059',)	Evidence at protein level	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	Homo sapiens (Human)	()	A5YM72;	2025-06-18	134	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Eukaryota	True
B9DGD6	ACS_ARATH	('6.2.1.1',)	('SSF56801',)	Evidence at protein level	Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase)	ACS At5g36880 F5H8.15	Arabidopsis thaliana (Mouse-ear cress)	()	B9DGD6;	2025-06-18	98	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Brassicales (order), Brassicaceae (family), Camelineae (tribe), Arabidopsis (genus)	Eukaryota	True
D2Z030	DCSG_STRLA	('6.3.3.5',)	('SSF56059',)	Evidence at protein level	Cycloserine biosynthesis protein DcsG (EC 6.3.3.5)	dcsG	Streptomyces lavendulae	('6JIL',)	D2Z030;	2025-02-05	38	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)	Bacteria	True
D3KCC4	CRNS1_CHICK	('6.3.2.11',)	('SSF56059',)	Evidence at protein level	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1	Gallus gallus (Chicken)	()	D3KCC4;	2025-06-18	57	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)	Eukaryota	True
